"trend","url","promoted_content","query","tweet_volume","place","woeid","as_of","created_at"
"#BuenMartes","http://twitter.com/search?q=%23BuenMartes",,"%23BuenMartes",,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"#ONEW1STVLIVE","http://twitter.com/search?q=%23ONEW1STVLIVE",,"%23ONEW1STVLIVE",18022,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Gustavo Menéndez","http://twitter.com/search?q=%22Gustavo+Men%C3%A9ndez%22",,"%22Gustavo+Men%C3%A9ndez%22",,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Tamse","http://twitter.com/search?q=Tamse",,"Tamse",,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"#GetWellSoonSeungkwan","http://twitter.com/search?q=%23GetWellSoonSeungkwan",,"%23GetWellSoonSeungkwan",46897,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"#ElClubDelMoro","http://twitter.com/search?q=%23ElClubDelMoro",,"%23ElClubDelMoro",,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Kanye","http://twitter.com/search?q=Kanye",,"Kanye",895202,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Pablo Agustín","http://twitter.com/search?q=%22Pablo+Agust%C3%ADn%22",,"%22Pablo+Agust%C3%ADn%22",,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"ZICO","http://twitter.com/search?q=ZICO",,"ZICO",32160,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Wattpad","http://twitter.com/search?q=Wattpad",,"Wattpad",105101,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Guzmán","http://twitter.com/search?q=Guzm%C3%A1n",,"Guzm%C3%A1n",19198,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Javier","http://twitter.com/search?q=Javier",,"Javier",52480,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Jorge Ríos","http://twitter.com/search?q=%22Jorge+R%C3%ADos%22",,"%22Jorge+R%C3%ADos%22",13675,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Gmail","http://twitter.com/search?q=Gmail",,"Gmail",18015,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Mayra Mendoza","http://twitter.com/search?q=%22Mayra+Mendoza%22",,"%22Mayra+Mendoza%22",,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"ibai","http://twitter.com/search?q=ibai",,"ibai",,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"#DiaDelAmigo","http://twitter.com/search?q=%23DiaDelAmigo",,"%23DiaDelAmigo",31757,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Feliz Día","http://twitter.com/search?q=%22Feliz+D%C3%ADa%22",,"%22Feliz+D%C3%ADa%22",840793,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"icardi","http://twitter.com/search?q=icardi",,"icardi",,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"feliz dia del amigo","http://twitter.com/search?q=%22feliz+dia+del+amigo%22",,"%22feliz+dia+del+amigo%22",59210,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Oxford","http://twitter.com/search?q=Oxford",,"Oxford",428510,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Edesur","http://twitter.com/search?q=Edesur",,"Edesur",15832,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"lorde","http://twitter.com/search?q=lorde",,"lorde",14795,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"mica suarez","http://twitter.com/search?q=%22mica+suarez%22",,"%22mica+suarez%22",,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Maxi López","http://twitter.com/search?q=%22Maxi+L%C3%B3pez%22",,"%22Maxi+L%C3%B3pez%22",,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"manu rios","http://twitter.com/search?q=%22manu+rios%22",,"%22manu+rios%22",21964,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"felíz","http://twitter.com/search?q=fel%C3%ADz",,"fel%C3%ADz",1347069,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"nicki minaj","http://twitter.com/search?q=%22nicki+minaj%22",,"%22nicki+minaj%22",366229,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Iguacel","http://twitter.com/search?q=Iguacel",,"Iguacel",13218,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"balón de oro","http://twitter.com/search?q=%22bal%C3%B3n+de+oro%22",,"%22bal%C3%B3n+de+oro%22",36910,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Calu Rivero","http://twitter.com/search?q=%22Calu+Rivero%22",,"%22Calu+Rivero%22",,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"elite","http://twitter.com/search?q=elite",,"elite",269713,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Rafael Correa","http://twitter.com/search?q=%22Rafael+Correa%22",,"%22Rafael+Correa%22",26397,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"Ester","http://twitter.com/search?q=Ester",,"Ester",20689,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"roberto carlos","http://twitter.com/search?q=%22roberto+carlos%22",,"%22roberto+carlos%22",,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"#DondeestaFacundo","http://twitter.com/search?q=%23DondeestaFacundo",,"%23DondeestaFacundo",31515,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"#MTVHottest","http://twitter.com/search?q=%23MTVHottest",,"%23MTVHottest",2237023,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
"#buenlunes","http://twitter.com/search?q=%23buenlunes",,"%23buenlunes",,"Argentina",23424747,2020-07-21 11:21:47,2020-07-21 11:18:43
